likesCount,ownerUsername,text,timestamp,likesCount_normalized,cleaned_text
1,sudhanshuuux,@rounitmakhija911 raat koo ,2024-07-14 10:33:07+00:00,1.0,rounitmakhija raat koo 
0,fit_athma,,2024-07-14 11:47:39+00:00,0.0,
0,luky_co_rad,,2024-07-14 12:22:36+00:00,0.0,
0,mr_shelarharshu,Bro 99 kal hua thma na ,2024-07-14 14:35:26+00:00,0.0,Bro  kal hua thma na 
1,mr_katari_007,Workout plan bolo na bhai please ,2024-07-14 17:02:53+00:00,1.0,Workout plan bolo na bhai please 
0,rahul_dhokane__,✅️❤️✅️,2024-07-14 17:06:50+00:00,0.0,
0,http.julio_05,Consistency ,2024-07-14 17:59:26+00:00,0.0,Consistency 
0,kalpesh_garela,'Chest day best day' is mandatory on chest day ,2024-07-14 18:32:53+00:00,0.0,Chest day best day is mandatory on chest day 
0,theyashyaaa,Chai✅,2024-07-15 07:32:56+00:00,0.0,Chai
0,abufarhan999,Bro who is ur editor?,2024-07-15 08:39:41+00:00,0.0,Bro who is ur editor
0,abufarhan999,"Ni bhai, ye to bahana h...asal m bhai ko subtitles wala maslaa ni mil rha tha",2024-07-15 08:40:21+00:00,0.0,Ni bhai ye to bahana hasal m bhai ko subtitles wala maslaa ni mil rha tha
1,abufarhan999,Exactly! His color grading is so pleasing,2024-07-15 08:40:49+00:00,1.0,Exactly His color grading is so pleasing
0,_areeb__ansari_,Bhai itni garmi me hoodie,2024-07-15 12:51:00+00:00,0.0,Bhai itni garmi me hoodie
1,_man_jeet_kumar_,Bro's word-- Chest day Best day❤️,2024-07-15 16:25:15+00:00,1.0,Bros word Chest day Best day
0,siddharth_daksh_,❤️❤️,2024-07-15 16:25:38+00:00,0.0,
0,arifulislamrabby6,"I like you physique so much 
I want to like this
It’s naturally possible.?",2024-07-15 17:02:32+00:00,0.0,"I like you physique so much 
I want to like this
Its naturally possible"
0,aestheticjayyy_,     _!! ,2024-07-15 17:30:18+00:00,0.0,      
0,rishi_5_4_6_,98 days m sirf 4 kg weight gain hua h yeh bht slow nhi h kya ??,2024-07-15 17:54:56+00:00,0.0, days m sirf  kg weight gain hua h yeh bht slow nhi h kya 
0,exploreyourlimitss,@aman_27080 Dm sir,2024-07-16 03:25:10+00:00,0.0,aman Dm sir
0,r_a_y_a_n_2_6_4,Bhai apka time table mujhay bohot pasand  ha,2024-07-16 05:28:13+00:00,0.0,Bhai apka time table mujhay bohot pasand  ha
0,rahmaaaan_.s_,Bhai tu akele rhta hay kya mummy papa nhi hay tere ? ,2024-07-16 06:16:54+00:00,0.0,Bhai tu akele rhta hay kya mummy papa nhi hay tere  
0,xtiazz.z,illusion,2024-07-16 06:50:54+00:00,0.0,illusion
0,aayush_shinde_x17,Bhai meine sunaa aapki gf hain toh aap unse kabb baat karte ho?,2024-07-16 10:58:51+00:00,0.0,Bhai meine sunaa aapki gf hain toh aap unse kabb baat karte ho
0,mune.eb1912,Mass monster,2024-07-16 11:35:26+00:00,0.0,Mass monster
0,wx_alone_boy_0x,Bhai apke Gym ke fees kya hai please reply my comment ,2024-07-16 11:53:01+00:00,0.0,Bhai apke Gym ke fees kya hai please reply my comment 
1,mma_sartaj_khan,Bro where do you live?,2024-07-16 20:14:46+00:00,1.0,Bro where do you live
0,ranjan_kanishk,Bro how do you breathing while reaching failure?,2024-07-17 02:57:52+00:00,0.0,Bro how do you breathing while reaching failure
0,chai_journey_,Rich ho to sab respect karte h,2024-07-17 22:54:53+00:00,0.0,Rich ho to sab respect karte h
0,10.manuuuu__,Bro Tan bhot ho chuka hai,2024-07-18 13:08:30+00:00,0.0,Bro Tan bhot ho chuka hai
0,vaidik_rajsingh,Bhaiya itni acchi fitness hai to JAPAN Kyu jana hai aapko Aap ko army join karni chahiye,2024-07-19 09:30:12+00:00,0.0,Bhaiya itni acchi fitness hai to JAPAN Kyu jana hai aapko Aap ko army join karni chahiye
0,yuvraj89_yuvi,W,2024-07-19 13:02:56+00:00,0.0,W
0,yuvraj89_yuvi,Where is aaryan ,2024-07-19 13:03:43+00:00,0.0,Where is aaryan 
0,yk.aarav,1 bullet ,2024-07-19 13:14:56+00:00,0.0, bullet 
0,keith_robin123k,Bhai you sure this is your bulk⁉️⁉️,2024-07-20 05:53:35+00:00,0.0,Bhai you sure this is your bulk
0,titan_sirius03,Wanna be better than him ,2024-07-20 22:47:40+00:00,0.0,Wanna be better than him 
0,shreyas.__.11,Only 2 exercises for chest and 2 exercises for shoulder ,2024-07-21 07:39:14+00:00,0.0,Only  exercises for chest and  exercises for shoulder 
0,sun7heshine_rohit_,Not for middle class boys...,2024-07-21 08:09:38+00:00,0.0,Not for middle class boys
0,chitraksh.hx,Same body weight bro ,2024-07-22 16:31:37+00:00,0.0,Same body weight bro 
0,uknow_rehan,Bhai apki height kitni h ?,2024-07-22 17:31:25+00:00,0.0,Bhai apki height kitni h 
0,5993_ritik,Bhai kisne bola tumko ki N1 Japan ka sabse muskil exam hai ,2024-07-22 18:35:24+00:00,0.0,Bhai kisne bola tumko ki N Japan ka sabse muskil exam hai 
0,rudrabot007,Bro you are real life Baki hanma,2024-07-24 18:02:11+00:00,0.0,Bro you are real life Baki hanma
0,amirartslover2023,bro your height,2024-07-24 18:13:16+00:00,0.0,bro your height
0,surxx.k,Ur height??,2024-07-25 09:58:30+00:00,0.0,Ur height
0,mauryavanshi_____________,,2024-07-25 14:08:38+00:00,0.0,
0,roshan.k.gupta,,2024-07-25 14:49:53+00:00,0.0,
0,itachi_uchiha_077_,Bhai lower body pa bhi dyan do,2024-07-25 17:18:23+00:00,0.0,Bhai lower body pa bhi dyan do
0,fkthdudhal,तुझ्यात आणि माझ्यात एकच गोष्ट same आहे cup भरून  चाय ❤️,2024-08-09 16:08:55+00:00,0.0,     same  cup    
